,Unnamed: 0,Unnamed: 1,CaO,Al2O3,SiO2,Density (g·cm-3),Tg (°C),Thermal expansion (×10-6/°C),Hardness (GPa),Young’s modulus (GPa),fnet1,Fnet_SBS,Fnet_BSdm,Fnet_BSdc,Fnet_EF,Fnet_SBS/Tm,Fnet_BSdm/Tm,Fnet_BSdc/Tm,Fnet_EF/Tm,Fnet_SBS2,Fnet_BSdm2,Fnet_BSdc2,Fnet_EF2,Fnet_SBS/Tm2,Fnet_BSdm/Tm2,Fnet_BSdc/Tm2,Fnet_EF/Tm2
20,,21,40.0,20.0,40.0,2.82,826.0,7.1,,,3717.0572319999997,3717.0572319999997,6463.153199999999,3285.2089199999996,707.8618399999999,1.7152692928,2.9901647999999996,1.5294607999999998,0.3007311999999999,4738.407893333333,8783.466666666667,4969.016,1003.0453333333332,2.1534211199999995,3.955026666666667,2.2070133333333337,0.40858666666666665
21,,22,38.0,22.2,40.0,2.8,832.0,6.7,,,3938.1156205124175,3938.1156205124175,6820.571600653595,3428.3324518300656,769.0367873202614,1.8132665306039215,3.149266496732026,1.5941455738562091,0.327037877124183,4811.50920993464,8828.633464052285,4898.847346405228,1032.3075032679737,2.184979965490196,3.9775267973856208,2.1812120261437906,0.422960522875817
22,,23,35.0,25.0,40.0,2.78,846.0,6.2,,,4209.036922111999,4209.036922111999,7255.317728,3599.436272,842.65424,1.9337446517760002,3.343750784,1.672284928,0.358825472,4904.464716799999,8882.019199999999,4805.9888,1064.912,2.2262628864,4.0069376000000005,2.1486592,0.4395008
23,,24,30.0,30.0,40.0,2.76,864.0,5.4,,,4605.4463382153845,4605.4463382153845,7861.595061538462,3797.8908584615388,960.9600553846154,2.108059704676924,3.6126781923076923,1.7634543538461536,0.41042803076923073,5071.754683076924,8991.344615384616,4657.819692307693,1126.150153846154,2.299725944615385,4.0633,2.096273846153846,0.4699261538461539
24,,25,27.3,32.7,40.0,2.77,865.0,5.2,,,4797.679512918763,4797.679512918763,8146.406390504899,3877.4521934740014,1022.8049623813115,2.191700535369405,3.7376858568198945,1.7998470040693293,0.4375075279577996,5158.461230203466,9059.630715900526,4597.911276563677,1159.6644822908818,2.337182084702336,4.095752087415222,2.0748264355689523,0.48608343632253204
25,,26,50.0,5.0,45.0,2.9,791.0,9.7,,,2202.2223396571426,2202.2223396571426,3973.3930857142855,2269.8058742857143,239.55529142857142,1.0559719065142859,1.9093604285714285,1.0904630285714285,0.10186297142857144,4385.023268571428,8769.611428571428,5694.4137142857135,734.976,2.0270404114285716,3.9795714285714285,2.52088,0.28249142857142856
26,,27,45.0,10.0,45.0,2.86,796.0,8.5,,,2955.864698472727,2955.864698472727,5254.534181818182,2870.819210909091,418.52765818181825,1.3959279271272729,2.488158745454545,1.3637392363636363,0.17790458181818183,4599.265803636364,8894.936363636363,5478.158545454545,820.3098181818182,2.1197551345454544,4.043235454545455,2.4414381818181816,0.3246436363636364
27,,28,40.0,15.0,45.0,2.81,805.0,7.7,,,3582.1283255652174,3582.1283255652174,6303.01252173913,3338.751547826087,579.0815304347825,1.675927031652174,2.9577234782608692,1.5748719999999996,0.24630017391304349,4780.863972173914,8989.053913043477,5275.591304347826,893.7426086956522,2.1982954295652175,4.092396521739131,2.3664973913043474,0.3611547826086956
28,,29,35.0,20.0,45.0,2.77,824.0,6.5,,,4120.487437866667,4120.487437866667,7179.840233333333,3699.7402266666663,723.4440533333333,1.9155610686666666,3.349679383333333,1.7386826999999998,0.30833079999999996,4950.731946666667,9079.126666666667,5089.517333333333,961.9413333333334,2.2718422666666664,4.139336666666667,2.297846666666666,0.39505333333333337
29,,30,34.4,20.6,45.0,2.77,830.0,6.4,,,4189.263719015588,4189.263719015588,7287.594313764512,3738.254686832504,743.7336841127694,1.945815108818574,3.3973566620232174,1.7561130348258707,0.31711697512437814,4981.125410812604,9108.595953565506,5076.950792703151,973.8355157545606,2.2848409069320073,4.152591973466004,2.2934368159203977,0.4006208955223881
